Date,Description,Reference,Credit,Debit,Balance,Trigger
26-08-2026,Bank_PJ,,,20000,79239.55,Bank_PJ
24-08-2026,Golden Tower ,,47798.1,,99239.55,Bank_PJ
19-08-2026,RK_Cash,,,1202,51441.45,
16-08-2026,Bank_PJ,,,1300,52643.45,Bank_PJ
13-08-2026,RK_Cash,CWDR Bahadur,,2000,53943.45,
10-08-2026,RK_Cash,CWDR,,5002,55943.45,RK_Cash
10-08-2026,RK_Cash,CWDR,,3002,60945.45,RK_Cash
08-08-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,1100,63947.45,RK_Cash
04-08-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,1300,65047.45,Bank_PJ
27-07-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,20000,66347.45,Bank_PJ
24-07-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,2000,86347.45,Bank_PJ
21-07-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,2000,88347.45,Bank_PJ
18-07-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,3100,90347.45,Bank_PJ
11-07-2026,Staff Accommodation,Staff Accommodation chq 136 |  Staff Accommodation chq 136,,15840,93447.45,Staff Accommodation
09-07-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,5800,109287.45,Bank_PJ
04-07-2026,Golden Tower ,Golden Tower |  GT-065,32508,,115087.45,Golden Tower
04-07-2026,Golden Tower ,Golden Tower |  GT-066,30126.6,,82579.45,Golden Tower
27-06-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,15500,52452.85,Bank_PJ
14-06-2026,RK_Cash,RK_Cash |  RK_Cash,,4000,67952.85,RK_Cash
09-06-2026,Visionwood,VISIONWOOD INTERNATIONAL |  Retention,6327.83,,71952.85,Visionwood
02-06-2026,Golden Tower ,Golden |  GT-064,24399.9,,65625.02,Golden Tower
31-05-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,16300,41225.12,Bank_PJ
20-05-2026,RK_Cash,RK_Cash |  RK_Cash,,502,57525.12,RK_Cash
20-05-2026,RK_Cash,RK_Cash |  RK_Cash,,5002,58027.12,RK_Cash
20-05-2026,RK_Cash,RK_Cash |  RK_Cash,,5002,63029.12,RK_Cash
12-05-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,3900,68031.12,Bank_PJ
11-05-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,1000,71931.12,Bank_PJ
11-05-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,4800,72931.12,Bank_PJ
11-05-2026,Staff Accommodation,Staff Accommodation chq 135 |  Staff Accommodation chq 135,,15840,77731.12,Staff Accommodation
02-05-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,15000,93571.12,Bank_PJ
26-04-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,1000,108571.12,Bank_PJ
20-04-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,1500,109571.12,Bank_PJ
18-04-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,6000,111071.12,Bank_PJ
17-04-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,1500,117071.12,Bank_PJ
17-04-2026,Sharif Carpentry,Sharif Payment Bank_CS |  Sharif Payment Bank_CS,40000,,118571.12,Sharif Carpentry
07-04-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,8000,78571.12,Bank_PJ
04-04-2026,Golden Tower ,GT-063 |  GT-063,28236.6,,86571.12,Golden Tower
02-04-2026,Bank_PJ,Bank_PJ |  Bank_PJ,,6500,58334.52,Bank_PJ
31-03-2026,Bank_PJ,TRTR-MAR26-06 |  Bank_PJ,,2000,64834.52,Bank_PJ
25-03-2026,Bank_PJ,TRTR-MAR26-05 |  Bank_PJ,,1500,66834.52,Bank_PJ
16-03-2026,Bank_PJ,TRTR-MAR26-04 |  Bank_PJ,,2200,68334.52,Bank_PJ
16-03-2026,Visionwood,VISIONWOOD INTERNATIONAL |  VW-008,2520,,70534.52,Visionwood
10-03-2026,Bank_PJ,TRTR-MAR26-03 |  Bank_PJ,,5000,68014.52,Bank_PJ
10-03-2026,Golden Tower ,chq 90080 |  GT-062,28841.4,,73014.52,Golden Tower
10-03-2026,Staff Accommodation,chq 141 |  Staff Accommodation,,15840,44173.12,Staff Accommodation
09-03-2026,Bank_PJ,TRTR-MAR26-02 |  Bank_PJ,,7000,60013.12,Bank_PJ
07-03-2026,Bank_PJ,TRTR-MAR26-01 |  Bank_PJ,,4500,67013.12,Bank_PJ
02-03-2026,PettyCash_PJ,CWDR/8308/01 |  PettyCash_PJ,,2502,71513.12,PettyCash_PJ
02-03-2026,PettyCash_PJ,CWDR/8309/01 |  PettyCash_PJ,,2502,74015.12,PettyCash_PJ
02-03-2026,PettyCash_PJ,CWDR/8310/01 |  PettyCash_PJ,,2502,76517.12,PettyCash_PJ
27-02-2026,Bank_PJ,TRTR/000063614441 |  Bank_PJ,,5000,79019.12,Bank_PJ
25-02-2026,Bank_PJ,TRTR/000063588021 |  Bank_PJ,,18000,84019.12,Bank_PJ
12-02-2026,Bank_PJ,TRTR/000063442581 |  Bank_PJ,,3600,102019.12,Bank_PJ
12-02-2026,Visionwood,VISIONWOOD INTERNATIONAL |  VW-009,22915,,105619.12,Visionwood
09-02-2026,Bank_PJ,TRTR/000063394511 |  Bank_PJ,,13600,82704.12,Bank_PJ
04-02-2026,Golden Tower ,INST/900017 |  GT-061B,21357,,96304.12,Golden Tower
30-01-2026,Bank_PJ,TRTR/000063278861 |  Bank_PJ,,500,74947.12,Bank_PJ
27-01-2026,Bank_PJ,TRTR |  Bank_PJ,,18500,75447.12,Bank_PJ
22-01-2026,Bank_PJ,TRTR |  Bank_PJ,,8500,93947.12,Bank_PJ
19-01-2026,Office Rent,INWARD-CLR |  Bank_RK,,5000,102447.12,Office Rent
17-01-2026,Sharif Carpentry,INST/4378 |  Sharif Payment Bank_CS,75000,,107447.12,Sharif Carpentry
17-01-2026,Staff Accommodation,INWARD-CLR |  Staff Accommodation,,7200,32447.12,Staff Accommodation
16-01-2026,Bank_PJ,TRTR/000063115951 |  Bank_PJ,,11000,39647.12,Bank_PJ
15-01-2026,Visionwood,VISIONWOOD INTERNATIONAL |  VW-007,18831.75,,50647.12,Visionwood
10-01-2026,PettyCash_PJ,CWDR/601010044706 |  PettyCash_PJ,,5002,31815.37,PettyCash_PJ
10-01-2026,PettyCash_PJ,CWDR/601010044707 |  PettyCash_PJ,,5002,36817.37,PettyCash_PJ
07-01-2026,Bank_PJ,TRTR/000063022871 |  Bank_PJ,,6700,41819.37,Bank_PJ
05-01-2026,Bank_PJ,TRTR/000062982341 |  Bank_PJ,,6615,48519.37,Bank_PJ
29-12-2025,Bank_PJ,TRTR/000062895541 |  Bank_PJ,,20300,55134.37,Bank_PJ
26-12-2025,Bank_PJ,CWDR/2674424805 |  Bank_PJ,,2002,75434.37,Bank_PJ
26-12-2025,Bank_PJ,TRTR/000062881381 |  Bank_PJ,,1250,77436.37,Bank_PJ
23-12-2025,Bank_PJ,TRTR/000062842541 |  Bank_PJ,,2000,78686.37,Bank_PJ
18-12-2025,Bank_PJ,TRTR/000062793551 |  Bank_PJ,,5800,80686.37,Bank_PJ
09-12-2025,Bank Charges,Cash Handling charges |  BankCharges,,26.25,86486.37,Bank Charges
09-12-2025,Bank_PJ,TRTR/000062680731 |  Bank_PJ,,13000,86512.62,Bank_PJ
09-12-2025,House Rent,TO CASH HASSAN RAGAB ABDA |  TO CASH HASSAN RAGAB ABDA,,62000,99512.62,House Rent
30-11-2025,PettyCash_PJ,CWDR/7167/30 |  PettyCash_PJ,,5002,161512.62,PettyCash_PJ
30-11-2025,PettyCash_PJ,CWDR/7168/30 |  PettyCash_PJ,,5002,166514.62,PettyCash_PJ
26-11-2025,Bank_PJ,TRTR/000062534041 |  Bank_PJ,,18700,171516.62,Bank_PJ
20-11-2025,Bank_PJ,TRTR/000062487481 |  Bank_PJ,,1500,190216.62,Bank_PJ
20-11-2025,Sharif Carpentry,INST/4110 |  Sharif Payment Bank_CS,75000,,191716.62,Sharif Carpentry
17-11-2025,Visionwood,VISIONWOOD INTERNATIONAL |  VW-006,17640,,116716.62,Visionwood
10-11-2025,Bank_RK,TRTR/000062366331 |  Bank_RK,,9300,99076.62,Bank_RK
