Date,Description,Reference,Credit,Debit,Running Balance,Trigger
20-11-2025,PettyCash_PJ, CWDR-PettyCash_PJ,,1502,9,PettyCash_PJ
20-11-2025,Bank_CS, From Bank-CS TRTR/000062487481/20,1500,,1509,Bank_CS
20-11-2025,OB, OB,1511,,3020,OB
26-11-2025,PettyCash_PJ, CWDR-PettyCash_PJ,,18702,-15682,PettyCash_PJ
26-11-2025,Bank_CS, From Bank-CS TRTR/000062534041/26,18700,,3018,Bank_CS
09-12-2025,PettyCash_PJ, CWDR-PettyCash_PJ,,13002,-9984,PettyCash_PJ
09-12-2025,Bank_CS, From Bank-CS TRTR/000062680731/09,13000,,3016,Bank_CS
18-12-2025,PettyCash_PJ, CWDR-PettyCash_PJ,,5802,-2786,PettyCash_PJ
18-12-2025,Bank_CS, From Bank-CS TRTR/000062793551/18,5800,,3014,Bank_CS
23-12-2025,PettyCash_PJ, CWDR-PettyCash_PJ,,2002,1012,PettyCash_PJ
23-12-2025,Bank_CS, From Bank-CS TRTR/000062842541/23,2000,,3012,Bank_CS
26-12-2025,PettyCash_PJ, CWDR-PettyCash_PJ,,1252,1760,PettyCash_PJ
26-12-2025,Bank_CS, From Bank-CS CWDR/2674424805/26,2002,,3762,Bank_CS
26-12-2025,Bank_CS, From Bank-CS TRTR/000062881381/26,1250,,5012,Bank_CS
28-12-2025,PettyCash_PJ, CWDR-PettyCash_PJ,,20302,-15290,PettyCash_PJ
29-12-2025,Bank_CS, From Bank-CS TRTR/000062895541/28,20300,,5010,Bank_CS
31-12-2025,Bank charges, Bank Charges,,16,4994,Bank charges
05-01-2026,PettyCash_PJ, CWDR-PettyCash_PJ,,6617,-1623,PettyCash_PJ
05-01-2026,Bank_CS, From Bank-CS TRTR/000062982341/05,6615,,4992,Bank_CS
07-01-2026,Bank_CS, From Bank-CS TRTR/000063022871/07,6700,,11692,Bank_CS
08-01-2026,PettyCash_PJ, CWDR-PettyCash_PJ,,6702,4990,PettyCash_PJ
16-01-2026,PettyCash_PJ, CWDR-PettyCash_PJ,,11000,-6010,PettyCash_PJ
