Date,Description,Reference,Credit,Debit,Balance,Trigger
10-11-2025,Bank_CS, From Bank-CS,9300,,2949.73,Bank_CS
10-11-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2233302806,,5002,-6350.27,PettyCash_PJ
10-11-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2233305406,,4502,-1348.27,PettyCash_PJ
03-11-2025,Bank_CS, From Bank-CS,4000,,3153.73,Bank_CS
03-11-2025,PettyCash_PJ, CWDR To Pettycash_PJ/145429,,4000,-846.27,PettyCash_PJ
20-10-2025,PettyCash_PJ, CWDR To Pettycash_PJ/6250,,10000,3153.73,PettyCash_PJ
20-10-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/6251,,10000,13153.73,PettyCash_PJ #2
19-10-2025,Bank_CS, From Bank-CS,21800,,23153.73,Bank_CS
10-10-2025,PettyCash_PJ, CWDR To Pettycash_PJ/5603,,10000,1353.73,PettyCash_PJ
10-10-2025,PettyCash_PJ, CWDR To Pettycash_PJ/5604,,700,11353.73,PettyCash_PJ
09-10-2025,Bank_CS, From Bank-CS,10700,,12053.73,Bank_CS
29-09-2025,PettyCash_PJ, CWDR To Pettycash_PJ/4719,,10000,1353.73,PettyCash_PJ
29-09-2025,PettyCash_PJ, CWDR To Pettycash_PJ/4720,,5500,11353.73,PettyCash_PJ
27-09-2025,Bank_CS, From Bank-CS,20500,,16853.73,Bank_CS
27-09-2025,PettyCash_PJ, CWDR To Pettycash_PJ/6914,,5002,-3646.27,PettyCash_PJ
08-09-2025,PettyCash_PJ, CWDR To Pettycash_PJ/3443CWDR To Pettycash_PJ/3444,,4200,1355.73,PettyCash_PJ
08-09-2025,PettyCash_PJ, CWDR To Pettycash_PJ/3443CWDR To Pettycash_PJ/3444,,10000,5555.73,PettyCash_PJ
06-09-2025,Bank_CS, From Bank-CS,20000,,15555.73,Bank_CS
06-09-2025,PettyCash_PJ, CWDR To Pettycash_PJ/758270464,,5002,-4444.27,PettyCash_PJ
03-09-2025,PettyCash_PJ, CWDR To Pettycash_PJ/7250,,1202,557.73,PettyCash_PJ
31-08-2025,Bank_CS, From Bank-CS,9000,,1759.73,Bank_CS
31-08-2025,PettyCash_PJ, CWDR To Pettycash_PJ/745/31-08-2025 19:44:20/SWT,,5002,-7240.27,PettyCash_PJ
31-08-2025,PettyCash_PJ, CWDR To Pettycash_PJ/746/31-08-2025 19:45:26/SWT,,4002,-2238.27,PettyCash_PJ
28-08-2025,Bank_CS, From Bank-CS,1200,,1763.73,Bank_CS
28-08-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2686/28-08-2025 06:34:01/SWT,,2400,563.73,PettyCash_PJ
27-08-2025,Bank_CS, From Bank-CS,22400,,2963.73,Bank_CS
27-08-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2506717248/27-08-2025 11:06:14/SWT,,5002,-19436.27,PettyCash_PJ
27-08-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/2506718102/27-08-2025 11:07:08/SWT,,5002,-14434.27,PettyCash_PJ #2
27-08-2025,PettyCash_PJ #3, CWDR To Pettycash_PJ/2506718969/27-08-2025 11:08:05/SWT,,5002,-9432.27,PettyCash_PJ #3
27-08-2025,PettyCash_PJ #4, CWDR To Pettycash_PJ/2506719766/27-08-2025 11:08:57/SWT,,5002,-4430.27,PettyCash_PJ #4
09-08-2025,Bank_CS, From Bank-CS,12800,,571.73,Bank_CS
09-08-2025,PettyCash_PJ, CWDR To Pettycash_PJ/775430/09-08-2025 16:20:24/SWT,,5002,-12228.27,PettyCash_PJ
09-08-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/776930/09-08-2025 16:21:23/SWT,,5002,-7226.27,PettyCash_PJ #2
09-08-2025,PettyCash_PJ, CWDR To Pettycash_PJ/778434/09-08-2025 16:22:24/SWT,,2802,-2224.27,PettyCash_PJ
02-08-2025,PettyCash_PJ, CWDR To Pettycash_PJ/8398/02-08-2025 14:50:05/SWT,,5002,577.73,PettyCash_PJ
31-07-2025,Bank_CS, From Bank-CS,5000,,5579.73,Bank_CS
29-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/663/29-07-2025 06:23:13/SWT,,2800,579.73,PettyCash_PJ
28-07-2025,Bank_CS, From Bank-CS,22750,,3379.73,Bank_CS
28-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/615/28-07-2025 16:05:28/SWT,,10000,-19370.27,PettyCash_PJ
28-07-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/616/28-07-2025 16:06:24/SWT,,10000,-9370.27,PettyCash_PJ #2
23-07-2025,Bank_CS, From Bank-CS,5000,,629.73,Bank_CS
23-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2460966769/23-07-2025 18:12:11/SWT,,5002,-4370.27,PettyCash_PJ
22-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/272/22-07-2025 07:03:29/SWT,,2000,631.73,PettyCash_PJ
21-07-2025,Bank_CS, From Bank-CS,2000,,2631.73,Bank_CS
10-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/9533/10-07-2025 06:23:26/SWT,,9200,631.73,PettyCash_PJ
09-07-2025,Bank_CS, From Bank-CS,14200,,9831.73,Bank_CS
09-07-2025,Bank_CS, From Bank-CS,1000,,-4368.27,Bank_CS
09-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/5142/09-07-2025 09:42:03/SWT,,1002,-5368.27,PettyCash_PJ
