Invoice Date,Work_Month ,Invoice Number,Customer Name,Tax Registration Number,PurchaseOrder,Item Desc,Quantity,Usage unit,Item Price,SubTotal,VAT5 %,Item Tax Amount,Total,Retention,Balance,Due Date,Payment Terms Label,Currency Code,Exchange Rate,Template Name,Account,Item Tax,Notes,Terms & Conditions,Invoice Type,Last Payment Date,Shipping Charge,Item Name,Discount,Discount Amount,Adjustment,Adjustment Description
10-Nov-23,Oct-23,GT-047,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1934,Hrs,16,30944,5,1547.2,32491.2,0,0,10-Dec-23,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,30-Dec-23,0,Joinery Installation @16,0,0,0,
27-Dec-23,Nov-23,GT-048,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1579,Hrs,16,25264,5,1263.2,26527.2,0,0,26-Jan-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,27-Jan-24,0,Joinery Installation @16,0,0,0,
20-Jan-24,Dec-23,GT-049,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1489.5,Hrs,16,23832,5,1191.6,25023.6,0,0,19-Feb-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,06-Feb-24,0,Joinery Installation @16,0,0,0,
10-Feb-24,Jan-24,GT-050,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1527,Hrs,16,24432,5,1221.6,25653.6,0,0,11-Mar-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,08-Mar-24,0,Joinery Installation @16,0,0,0,
11-Mar-24,Feb-24,GT-051,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,2300,Hrs,16,36800,5,1840,38640,0,0,10-Apr-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,01-May-24,0,Joinery Installation @16,0,0,0,
11-Apr-24,Mar-24,GT-052,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,2473,Hrs,16,39568,5,1978.4,41546.4,0,0,11-May-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,06-May-24,0,Joinery Installation @16,0,0,0,
11-May-24,Apr-24,GT-053,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1387.5,Hrs,16,22200,5,1110,23310,0,0,10-Jun-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,05-Jun-24,0,Joinery Installation @16,0,0,0,
11-Jun-24,May-24,GT-054,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1774,Hrs,16,28384,5,1419.2,29803.2,0,0,11-Jul-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,05-Jul-24,0,Joinery Installation @16,0,0,0,
11-Jul-24,Jun-24,GT-055,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1590,Hrs,16,25440,5,1272,26712,0,0,10-Aug-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,08-Aug-24,0,Joinery Installation @16,0,0,0,
11-Aug-24,Jul-24,GT-056,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,2120,Hrs,16,33920,5,1696,35616,0,0,10-Sep-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,05-Sep-24,0,Joinery Installation @16,0,0,0,
