Date,Category-Por B,COA Account,Vendor,Vendor Type,Description,Amount,Paid Thru
20-06-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,145.12,Mashreq_Cash
15-06-2026,Personal,Personal - Vehicle Fuel,Emirates General Petroleum,Fuel Station,Vehicle fuel|Emirates General Petroleum,136.01,Mashreq_Cash
15-06-2026,Personal,Personal|Grocery|Household,ABC Supermarket,Supermarket,Supermarket purchase|ABC Supermarket,45,Mashreq_Cash
11-06-2026,Personal,Personal - Vehicle Fuel,Emirates General Petroleum,Fuel Station,Vehicle fuel|Emirates General Petroleum,140.94,Mashreq_Cash
11-06-2026,Business,Printing|Stationery,A|Print House,Printing|Stationery,Printing|stationery|A|Print House,6.51,Mashreq_Cash
09-06-2026,Personal,Personal - Shopping & Lifestyle,Gift City General Trading,Retail,Retail purchase|Gift City General Trading,43,Mashreq_Cash
06-06-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,150.02,Mashreq_Cash
03-06-2026,Personal,Personal|Grocery|Household,ABC Supermarket,Supermarket,Supermarket purchase|ABC Supermarket,20,Mashreq_Cash
02-06-2026,Personal,Personal - Vehicle Fuel,ADNOC,Fuel Station,Vehicle fuel|ADNOC,150,Mashreq_Cash
02-06-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,140,Mashreq_Cash
02-06-2026,Personal,Personal - Vehicle Maintenance,Al Intikhab Auto Maintenance,Vehicle Maintenance,Vehicle maintenance/repair|Al Intikhab Auto Maintenance,470,Mashreq_Cash
31-05-2026,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel|ENOC/EPPCO,135.04,Mashreq_Cash
30-05-2026,Personal,Personal|Medical|Pharmacy,Salah Din Medical Fitness,Medical,Medical expense|Salah Din Medical Fitness,78.14,Mashreq_Cash
30-05-2026,Business,Printing|Stationery,Rapid Pro Typing Services,Printing|Stationery,Printing|stationery|Rapid Pro Typing Services,261.86,Mashreq_Cash
28-05-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,120.01,Mashreq_Cash
27-05-2026,Personal,Personal - Shopping & Lifestyle,Alhameidi Department Store,Retail,Retail purchase|Alhameidi Department Store,110,Mashreq_Cash
27-05-2026,Personal,Personal - Shopping & Lifestyle,Gift City General Trading,Retail,Retail purchase|Gift City General Trading,244.5,Mashreq_Cash
25-05-2026,Personal,Personal - TBD,Motor Land,Vehicle Maintenance,Vehicle maintenance/repair|Motor Land,115.5,Mashreq_Cash
25-05-2026,Personal,Personal - Vehicle Maintenance,Bab Al Taawon Car Polish,Vehicle Maintenance,Vehicle maintenance/repair|Bab Al Taawon Car Polish,480,Mashreq_Cash
25-05-2026,Personal,Personal-TBD,Union Taxi,Transport,Transport/taxi|Union Taxi,20.25,Mashreq_Cash
25-05-2026,Personal,Personal-TBD,Union Taxi,Transport,Transport/taxi|Union Taxi,15.5,Mashreq_Cash
25-05-2026,Personal,Personal-TBD,Union Taxi,Transport,Transport/taxi|Union Taxi,15.5,Mashreq_Cash
