Date,Category P or B,COA Account,Vendor,Vendor Type,Description,Amount,Paid Thru,GST Treatment,Place Of Supply,Tax,Tax Type,Tax Inclusive
13-07-2026,Personal,Personal - Food & Dining,Noon,Online Marketplace,Online shopping /?? Noon,30.45,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,106.61,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-07-2026,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-07-2026,Personal,Personal - Food & Dining,Al Amir Sweets & Nuts,Restaurant/Confectionery,Restaurant/confectionery /?? Al Amir Sweets & Nuts,24.19,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-07-2026,Personal,Personal - Grocery & Household,Mohd Rashid Vegetables & Fruits,Grocery,Grocery purchase /?? Mohd Rashid Vegetables & Fruits,180,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-07-2026,Personal,Personal - Grocery & Household,Al Bawadi Supermarket,Supermarket,Supermarket purchase /?? Al Bawadi Supermarket,6.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-07-2026,Personal,Personal - Grocery & Household,Grand Hypermarket,Supermarket,Supermarket purchase /?? Grand Hypermarket,90.61,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-07-2026,Personal,Personal - Grocery & Household,Agri Fresh Foodstuff,Grocery,Grocery purchase /?? Agri Fresh Foodstuff,26,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-07-2026,Personal,Personal - Miscellaneous,Payment Al Quoz Branch (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Quoz Branch (Bank Counter),-5700,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-07-2026,Personal,Personal - Vehicle Fuel,ADNOC,Fuel Station,Vehicle fuel /?? ADNOC,307,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
08-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,9.9,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,44.99,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-07-2026,Personal,Personal - Miscellaneous,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,100,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,22.49,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,779,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
05-07-2026,Business,Mobile & Telecom - Business,Digital Sharjah,Uncategorised - review,"Digital Sharjah /?? uncategorised, please review",448.2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
05-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,69.99,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
05-07-2026,Personal,Personal - Food & Dining,Talabat,Food Delivery,Food delivery /?? Talabat,43.8,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,84.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,87.93,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,70.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-07-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,34.19,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-07-2026,Personal,Personal - Home Electricity,SEWA (Sharjah Electricity & Water Authority),Utility,Utility bill /?? SEWA (Sharjah Electricity & Water Authority),1084.15,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2026,Personal,Personal - Food & Dining,Chhappan Bhog,Restaurant,Restaurant / dining /?? Chhappan Bhog,18,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2026,Personal,Personal - Grocery & Household,Anwar Al Hidayah Foodstuff,Supermarket,Supermarket purchase /?? Anwar Al Hidayah Foodstuff,238.28,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2026,Personal,Personal - Grocery & Household,Agri Fresh Foodstuff,Grocery,Grocery purchase /?? Agri Fresh Foodstuff,43,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
