Expense Date,Expense Account,Expense Description,Expense Amount,Vendor,Paid Through,Tax Percentage
25-07-2026,Business Gifts & Client Entertainment,Moin Gift Paid A C,1000,,,
25-07-2026,Salaries And Employee Wages,Arun,1000,,,
22-07-2026,Salaries And Employee Wages,Staff Expenses,400,,PettyCash_PJ,
22-07-2026,Visa & Immigration Fees - Staff,Offer Letter New Works Santosh,560,,PettyCash_PJ,
22-07-2026,Staff Salaries,Rajnath,1000,,PettyCash_PJ,
21-07-2026,Taxi & Parking - Business,Airport Parking Rajnath,50,,PettyCash_PJ,
07-07-2026,Bus Parking,Bus Parking Paid Monthly To,375,,PettyCash_PJ,
29-06-2026,Staff Salaries,Salary May WPS Charges,15295,,PettyCash_PJ,0
27-06-2026,Vehicle Repair - Business,Bus Spark Plug Othe Repair,300,,PettyCash_PJ,0
19-06-2026,Staff Salaries,Rajnath Balance Salary Paid,283,,PettyCash_PJ,0
14-06-2026,Taxi & Parking - Business,Bus Parking Paid Monthly To,350,,PettyCash_PJ,0
14-06-2026,Taxi & Parking - Business,Airport Parking Rajnath,30,,PettyCash_PJ,0
09-06-2026,Personal - General,Careedit Card Pament Rajiv Sir Yes,700,,PettyCash_PJ,0
04-06-2026,Taxi & Parking - Business,Parking Richyog,101,,PettyCash_PJ,0
03-06-2026,Visa & Immigration Fees - Staff,Visa Stamping Id Typing Salik Amanel,850,,PettyCash_PJ,0
01-06-2026,Staff Salaries,Salary Balance Month April WPS,16474,,PettyCash_PJ,0
26-05-2026,Salaries And Employee Wages,Salaries and employee wages,100,,PettyCash_PJ,0
26-05-2026,Taxi & Parking - Business,Taxi & parking,1300,,PettyCash_PJ,0
25-05-2026,Taxi & Parking - Business,Taxi & parking,20,,PettyCash_PJ,0
24-05-2026,Taxi & Parking - Business,Taxi & parking,50,,PettyCash_PJ,0
19-05-2026,Taxi & Parking - Business,Taxi & parking,1000,,PettyCash_PJ,0
11-05-2026,Taxi & Parking - Business,Taxi & parking,1000,,PettyCash_PJ,0
08-05-2026,Salaries And Employee Wages,Salaries and employee wages,500,,PettyCash_PJ,0
03-05-2026,Taxi & Parking - Business,Taxi & parking,1500,,PettyCash_PJ,0
02-05-2026,Salaries And Employee Wages,Salaries and employee wages,11475,,PettyCash_PJ,0
26-04-2026,Printing & Stationery,Printing & stationery,15,,PettyCash_PJ,0
26-04-2026,Salaries And Employee Wages,Salaries and employee wages,1500,,PettyCash_PJ,0
26-04-2026,Taxi & Parking - Business,Taxi & parking,1000,,PettyCash_PJ,0
19-04-2026,Salaries And Employee Wages,Salaries and employee wages,2500,,PettyCash_PJ,0
19-04-2026,Taxi & Parking - Business,Taxi & parking,1000,,PettyCash_PJ,0
18-04-2026,Personal - General,Personal - general,5000,,PettyCash_PJ,0
18-04-2026,Taxi & Parking - Business,Taxi & parking,30,,PettyCash_PJ,0
12-04-2026,Bank Fees And Charges,Bank fees and charges,12,,PettyCash_PJ,0
12-04-2026,Taxi & Parking - Business,Taxi & parking,500,,PettyCash_PJ,0
11-04-2026,Taxi & Parking - Business,Taxi & parking,80,,PettyCash_PJ,0
08-04-2026,Salaries And Employee Wages,Salaries and employee wages,6542,,PettyCash_PJ,0
08-04-2026,Taxi & Parking - Business,Taxi & parking,500,,PettyCash_PJ,0
05-04-2026,Taxi & Parking - Business,Taxi & parking,30,,PettyCash_PJ,0
05-04-2026,Taxi & Parking - Business,Taxi & parking,100,,PettyCash_PJ,0
03-04-2026,Salaries And Employee Wages,Salaries and employee wages,3000,,PettyCash_PJ,0
03-04-2026,Salaries And Employee Wages,Salaries and employee wages,3930,,PettyCash_PJ,0
03-04-2026,Taxi & Parking - Business,Taxi & parking,50,,PettyCash_PJ,0
31-03-2026,Staff Salaries,All Works Admin C Paid,1600,,PettyCash_PJ,0
27-03-2026,Taxi & Parking - Business,Parking Recharge,51,,PettyCash_PJ,0
25-03-2026,Visa & Immigration Fees - Staff,Visa Stampy Id Santosh,1020,,PettyCash_PJ,0
23-03-2026,Taxi & Parking - Business,Parking Recharge,100,,PettyCash_PJ,0
18-03-2026,Staff Health & Medical,Visa Medical Santosh,262,,PettyCash_PJ,0
14-03-2026,Taxi & Parking - Business,Parking Recharge,100,,PettyCash_PJ,0
11-03-2026,Visa & Immigration Fees - Staff,New Visa Approval Santosh,4900,,PettyCash_PJ,0
09-03-2026,Visa & Immigration Fees - Staff,Offer Letter New Works Santosh,280,,PettyCash_PJ,0
07-03-2026,Staff Salaries,Uttam Sharma Paid Love Salary,4355,,PettyCash_PJ,0
28-02-2026,Staff Salaries,Rajnath Leave Salary Paid,5000,,PettyCash_PJ,0
27-02-2026,Taxi & Parking - Business,Parking Recovery,100,,PettyCash_PJ,0
26-02-2026,Staff Salaries,Jan Salary WPS Charges,17642,,PettyCash_PJ,0
23-02-2026,Vehicle Fuel - Business,Petrol,50,,PettyCash_PJ,0
21-02-2026,Vehicle Fuel - Business,Petrol,90,,PettyCash_PJ,0
17-02-2026,Taxi & Parking - Business,Parking Recharge,100,,PettyCash_PJ,0
12-02-2026,Visa & Immigration Fees - Staff,Visa Cancel Uttam Sharma Ajman Paid,400,,PettyCash_PJ,0
10-02-2026,Taxi & Parking - Business,Parking Recharge,55,,PettyCash_PJ,0
02-02-2026,Taxi & Parking - Business,Parking Recharge,100,,PettyCash_PJ,0
31-01-2026,Business Gifts & Client Entertainment,Moin Gift Paid A C,500,,PettyCash_PJ,0
31-01-2026,Staff Health & Medical,Bhadur Medical Pill,7,,PettyCash_PJ,0
28-01-2026,Licensing & Government Fees,WPS Renewal Paid,158,,PettyCash_PJ,0
28-01-2026,Staff Salaries,Dinesh Advance Paid,1000,,PettyCash_PJ,0
28-01-2026,Staff Salaries,Dec Salary WPS Charges,16384,,PettyCash_PJ,0
27-01-2026,Miscellaneous Business Expenses,Bank Amit Deposit,810,,PettyCash_PJ,0
23-01-2026,Licensing & Government Fees,N N N Paid,8500,,PettyCash_PJ,0
23-01-2026,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
23-01-2026,Vehicle Maintenance - Business,Bus Mulkiya (Vehicle Registration) Typary Other,160,,PettyCash_PJ,0
19-01-2026,Licensing & Government Fees,Office License Renewal Paid,10000,,PettyCash_PJ,0
14-01-2026,Taxi & Parking - Business,Parking Card Recharge,150,,PettyCash_PJ,0
10-01-2026,Staff Salaries,Salary Moti Kumar Dec Jan,2307,,PettyCash_PJ,0
10-01-2026,Staff Salaries,Leave Gratuity Motikumar Paid,6200,,PettyCash_PJ,0
10-01-2026,Staff Salaries,Advance Arun Kumar,200,,PettyCash_PJ,0
08-01-2026,Staff Salaries,Salary Shambhu Dec Jan,1831,,PettyCash_PJ,0
08-01-2026,Staff Salaries,Leave Salary Gratuity Shambhu,4800,,PettyCash_PJ,0
07-01-2026,Taxi & Parking - Business,Air Port To Company Arun,60,,PettyCash_PJ,0
05-01-2026,Taxi & Parking - Business,Taxi & Parking - Business,50,,PettyCash_PJ,0
29-12-2025,Staff Salaries,Nov Salary WPS Charges,20348,,PettyCash_PJ,0
27-12-2025,Licensing & Government Fees,E Chanel Renewal Office Ajman,1220,,PettyCash_PJ,0
27-12-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
25-12-2025,Visa & Immigration Fees - Staff,Visa Stamping Id Typing Ajman Paid Dinesh,860,,PettyCash_PJ,0
24-12-2025,Local Conveyance - Business,Taxi Steel To Company To Steel Prajapati Side,71,,PettyCash_PJ,0
23-12-2025,Staff Salaries,Uttam Advance,1000,,PettyCash_PJ,0
20-12-2025,Personal - House Rent,Bank Deposit Hani Elsayed,5800,,PettyCash_PJ,0
18-12-2025,Taxi & Parking - Business,Online Parking Recharge Paid,30,,PettyCash_PJ,0
12-12-2025,Local Conveyance - Business,Taxi Sharif To Company,35,,PettyCash_PJ,0
10-12-2025,Taxi & Parking - Business,Parking Card Recharge,100,,PettyCash_PJ,0
10-12-2025,Visa & Immigration Fees - Staff,Visa Renewal Dinesh,4000,,PettyCash_PJ,0
10-12-2025,Visa & Immigration Fees - Staff,Visa Cancel Moti Kumar,400,,PettyCash_PJ,0
26-11-2025,Staff Salaries,Oct Salary WPS Charges,18761,,PettyCash_PJ,0
20-11-2025,Taxi & Parking - Business,Parking Card Recharge,100,,PettyCash_PJ,0
12-11-2025,Taxi & Parking - Business,Parking Card Recharge,55,,PettyCash_PJ,0
05-11-2025,Staff Salaries,Salary Paid Arun Kumar Oct Nov,1723,,PettyCash_PJ,0
05-11-2025,Staff Salaries,Leave Salary Paid Arun Kumar,2000,,PettyCash_PJ,0
04-11-2025,Visa & Immigration Fees - Staff,Visa & Immigration Fees - Staff,400,,PettyCash_PJ,0
31-10-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
30-10-2025,Staff Salaries,Salary WPS Charges,20453,,PettyCash_PJ,0
20-10-2025,Business Gifts & Client Entertainment,Diwali gift - all staff,1000,,PettyCash_PJ,0
18-10-2025,Taxi & Parking - Business,Parking Card Rechay,100,,PettyCash_PJ,0
10-10-2025,Licensing & Government Fees,Office Ajman Paid Civil Deposit,3000,,PettyCash_PJ,0
03-10-2025,Taxi & Parking - Business,Parking Card Recharge,100,,PettyCash_PJ,0
29-09-2025,Staff Salaries,August Salary WPS,20515,,PettyCash_PJ,0
26-09-2025,Taxi & Parking - Business,Parking Recharge,50,,PettyCash_PJ,0
22-09-2025,Taxi & Parking - Business,Air Port Parking Bash Frind,35,,PettyCash_PJ,0
18-09-2025,Taxi & Parking - Business,Parking Recharge,100,,PettyCash_PJ,0
06-09-2025,Staff Salaries,Ram Janam Leave Salary Paid,2000,,PettyCash_PJ,0
06-09-2025,Staff Salaries,Ram Janam August Sep Salary Paid,2023,,PettyCash_PJ,0
05-09-2025,Vehicle Maintenance - Business,Rajiv Sir Car A/C Repair,400,,PettyCash_PJ,0
04-09-2025,Staff Salaries,Dinesh Adwanc,500,,PettyCash_PJ,0
03-09-2025,Local Conveyance - Business,Taxi Uttam Side To Come,25,,PettyCash_PJ,0
03-09-2025,Vehicle Maintenance - Business,Bus Stamp Othe Charges Repair,1000,,PettyCash_PJ,0
02-09-2025,Taxi & Parking - Business,Taxi & Parking - Business,100,,PettyCash_PJ,0
01-09-2025,Staff Allowances & Benefits,T-shirt,500,,PettyCash_PJ,0
31-08-2025,Staff Salaries,Leave Salary Vijay Sagar,2500,,PettyCash_PJ,0
31-08-2025,Staff Salaries,Gratuity Salary Vijay Sagar,4200,,PettyCash_PJ,0
31-08-2025,Staff Salaries,August Salary Vijay Sagar,1787,,PettyCash_PJ,0
28-08-2025,Staff Salaries,July Salary WPS,22452,,PettyCash_PJ,0
20-08-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
16-08-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
12-08-2025,Taxi & Parking - Business,Dinesh Air Port Parking,30,,PettyCash_PJ,0
08-08-2025,Licensing & Government Fees,A T M Card Apply Umesh Yadav,7,,PettyCash_PJ,0
06-08-2025,Taxi & Parking - Business,Parking Recharge,70,,PettyCash_PJ,0
04-08-2025,Visa & Immigration Fees - Staff,Vijay Sagar Visa Cancel Paid,400,,PettyCash_PJ,0
02-08-2025,Staff Salaries,Love Garagaty Abhay Paid,3400,,PettyCash_PJ,0
02-08-2025,Staff Salaries,Staff Salaries,1757,,PettyCash_PJ,0
31-07-2025,Miscellaneous Business Expenses,Cash Rajiv Sir,4000,,PettyCash_PJ,0
31-07-2025,Printing & Stationery,Umesh Yadav Photo,15,,PettyCash_PJ,0
31-07-2025,Staff Allowances & Benefits,T-shirt,260,,PettyCash_PJ,0
28-07-2025,Staff Salaries,June Salary WPS Charges,22819,,PettyCash_PJ,0
28-07-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
27-07-2025,Staff Salaries,WPS Paid Re WPS,44,,PettyCash_PJ,0
22-07-2025,Visa & Immigration Fees - Staff,Bhadur Umesh Yadav Visa Id Typing N N N N,1950,,PettyCash_PJ,0
15-07-2025,Taxi & Parking - Business,Parking card recharge,100,,PettyCash_PJ,0
11-07-2025,Staff Salaries,Advance Umesh Yadav,200,,PettyCash_PJ,0
11-07-2025,Taxi & Parking - Business,Air Port Parking Food Umesh,30,,PettyCash_PJ,0
10-07-2025,Personal - Staff & Services,Bhadur Ganj Paid A C,2000,,PettyCash_PJ,0
10-07-2025,Visa & Immigration Fees - Staff,Bhadur Visa Renewal Paid Ajman Abhy Cancel,4300,,PettyCash_PJ,0
08-07-2025,Taxi & Parking - Business,Parking Card Recharge,80,,PettyCash_PJ,0
02-07-2025,Local Conveyance - Business,Taxi Rajnath Side,35,,PettyCash_PJ,0
02-07-2025,Vehicle Maintenance - Business,Vehicle Maintenance - Business,150,,PettyCash_PJ,0
